model,cv_f1_macro_mean,cv_f1_macro_std,cv_accuracy_mean,cv_accuracy_std,cv_roc_auc_mean,cv_roc_auc_std
XGBoost,0.3333197843461003,0.02525329879237165,0.4384291187739463,0.02495319380489351,0.49087103971614854,0.03959965238747419
SVM,0.3259314420809843,0.034219363592840155,0.3720689655172414,0.05862333778107037,0.5200974017132105,0.024959461105218038
LogisticRegression,0.3251694631432679,0.013532508025024682,0.34164750957854406,0.021015565787596408,0.48017757717686943,0.0110126667846518
NeuralNet,0.3202115100445084,0.010905770314387555,0.354051724137931,0.011811847934105989,0.4966179312474613,0.01650047632452798
RandomForest,0.3189650218759763,0.030776115666812126,0.4495019157088122,0.027324122872048332,0.48323848712983863,0.03790568843482584
