model,cv_f1_macro_mean,cv_f1_macro_std,cv_accuracy_mean,cv_accuracy_std,cv_roc_auc_mean,cv_roc_auc_std
XGBoost,0.6314684192245188,0.009197508480552308,0.6183333333333333,0.009036961141150667,0.8146255785361604,0.004268180855588772
RandomForest,0.6278759862021527,0.01153958779087931,0.6188333333333333,0.011037813793198964,0.8128999352738383,0.004033407826010552
LogisticRegression,0.6072177382656014,0.00901901309449251,0.5981666666666666,0.010211649121360269,0.799532484919492,0.005238107379373945
NeuralNet,0.6016003368274648,0.010755895107950632,0.5951666666666666,0.010767750203475384,0.8024280983795778,0.004576914872769294
SVM,0.5979670169230262,0.008702332498672348,0.5911666666666667,0.013463943619080477,0.7979388775607525,0.009300852822359259
